chain_id,ula,uhmc_10,uhmc_uniform_19
336,1.1807177021180686,1.1487931784216205,1.1488296879126387
337,1.077021019851247,1.1235212745563807,1.2409704424229164
338,1.0318640689582674,1.1102824539253628,1.1261144876332798
339,1.1505532056409253,1.1113785438115504,1.1256485926707491
340,1.081665717123265,1.1292396345923297,1.1019404684173713
341,1.1804049953270972,1.1442433527493572,1.1207630262977197
342,1.1718990482513945,1.1352065661386779,1.1195515444659978
343,1.077157761960008,1.1382142006881633,1.1264575897191687
344,1.0522085734542779,1.122211988300483,1.1395743980865556
345,1.059452011587971,1.1407153419903069,1.0952804717506124
346,1.1129929318497827,1.1303440859278557,1.1222620530902065
347,1.084665681629407,1.1219696012361702,1.1123353221050973
348,1.203489323912922,1.1188274588003926,1.135267461025903
349,1.1092787538436357,1.1357804585535898,1.1117344829747426
350,1.0311834506358106,1.1634063063341997,1.1364140625572092
351,1.1367084329629642,1.1450385675741437,1.1391373710522028
352,1.0816997842878555,1.1397322868858808,1.1051773217432217
353,1.0579347633149283,1.128095973065152,1.1143596762174028
354,1.027408838169226,1.0957240261012626,1.108665038859326
355,1.0716816343225597,1.1170639879225097,1.1062481414599346
356,1.1252570040068424,1.1164666364905698,1.1241275524623315
357,1.1286630862822054,1.1428128600467393,1.1270800362061313
358,1.1286000254162667,1.163124885409076,1.1158085645634321
359,1.0981608452879184,1.1255001747273465,1.093676909615113
360,1.1021507009787523,1.0986469467731423,1.1097692443426734
361,1.0529046421708474,1.1265383521621548,1.120723052422113
362,1.1480970187022168,1.1557171409085807,1.121344860623081
363,1.1074001300369107,1.1396558743822636,1.1153979233251556
364,1.134670550454158,1.1175073533381585,1.1192784678885488
365,1.093355077876168,1.107849601309456,1.1131031610234594
366,1.033001480494762,1.1258177691304523,1.1061523019779953
367,1.0197138084843096,1.1165176239606605,1.137923149963132
368,1.0802444989841193,1.1314862490365711,1.0867870607401606
369,1.1286731115067319,1.1260026728806654,1.104611416764922
370,1.118293348079178,1.139912109379965,1.121732189474076
371,1.058733303812304,1.113345022039993,1.1157978234510344
372,1.1386976102818867,1.1370099473301631,1.1293721065949984
373,1.116127733414892,1.1395550377179902,1.1168685140577543
374,1.0899273785423673,1.1553267157571985,1.1055670905316846
375,1.0972030830917858,1.118263325835103,1.1528294304554854
376,1.130996435182862,1.107550283882468,1.1727927316490847
377,1.0582746168981025,1.1347281323792506,1.1109669873343524
378,1.3718081427100526,1.1441209185941323,1.142790658672944
379,1.0703063967045636,1.1251961355614386,1.1198678193184157
380,1.1052158210009346,1.117905267182422,1.1299398136809067
381,1.145804870743246,1.1144682068661869,1.0961752359067887
382,1.1207973270188476,1.119725020745996,1.12816604295581
383,1.0848498159340618,1.1294146701459378,1.1535324381062297
384,1.1434515837640413,1.1262310771818567,1.1095792381016327
385,1.1379025545107773,1.1220087097291593,1.2133111770354563
386,1.0752834769652708,1.1403790140692145,1.1176861883923472
387,1.116035425325889,1.095400764389189,1.1489420681076485
388,1.0917885123341122,1.1150364787638576,1.0999959187755637
389,1.0677217568594792,1.0976631586724876,1.118452521913773
390,1.1016066047136188,1.1238479341853067,1.1204865331925193
391,1.0461838203749037,1.133486872460341,1.1183914094763063
392,1.0833775058956125,1.1428565602554208,1.119017937144541
393,1.3806448602906711,1.1296122454255342,1.1388856296368097
394,1.1430657783739897,1.1223628991506849,1.1080938361432329
395,1.1852965950302954,1.1540082737394706,1.1203957483888036
396,1.1401954246373593,1.126816697960447,1.1247242094904935
397,1.147241081415429,1.1332491515884915,1.1016666677464324
398,1.0513247598043023,1.1232778645086405,1.1153000050400026
399,1.1970772067604725,1.1203903347367223,1.1202651323108705
400,1.1414272129726415,1.1122572257032919,1.142267288321659
401,1.1637056181619636,1.1376500148013742,1.1305774119739351
