chain_id,hmc_5,hmc_10,hmc_20,hmc_uniform_9,hmc_uniform_19,hmc_uniform_39,hmc_two_point_9,hmc_two_point_39,nuts
163,0.1434,0.145725,0.1425375,0.1346625,0.1433,0.1470375,0.1574375,0.1540125,0.14701250000000002
164,0.137225,0.133025,0.1626625,0.1212875,0.146525,0.1385,0.15475,0.1505125,0.1443875
165,0.1403625,0.1627625,0.1446875,0.13615,0.1401,0.1725,0.1345875,0.144275,0.1461375
166,0.145825,0.152675,0.142525,0.1498875,0.1525375,0.1616375,0.131825,0.144275,0.15065
167,0.143075,0.1446625,0.155225,0.1500875,0.149775,0.14715,0.140875,0.1495875,0.1435875
168,0.155775,0.1440375,0.1456875,0.1396875,0.143225,0.15505,0.1376125,0.151075,0.1455625
169,0.1572375,0.136975,0.1453125,0.1580375,0.1647625,0.143425,0.1380625,0.145775,0.1417625
170,0.2039875,0.1454875,0.1449125,0.1299125,0.16335,0.1502375,0.1469,0.1434875,0.14651250000000002
171,0.14245,0.149725,0.14325,0.1498875,0.1522625,0.140725,0.1457875,0.1402625,0.1454375
172,0.1295625,0.1408875,0.1412625,0.1317875,0.15145,0.1362,0.1458875,0.1423,0.1469375
173,0.13295,0.1469375,0.1388,0.1371875,0.1391875,0.1484,0.14915,0.1488125,0.14865
174,0.1704375,0.1495375,0.1400875,0.16395,0.1445125,0.1480875,0.141375,0.1452375,0.14578750000000001
175,0.160125,0.1402125,0.136625,0.1423375,0.1457125,0.147475,0.14675,0.147025,0.153475
176,0.16245,0.1357625,0.145125,0.1451875,0.1446125,0.1447,0.1323125,0.14425,0.1497125
177,0.1385375,0.164675,0.14765,0.1349875,0.1586,0.1451875,0.1514875,0.14375,0.1476625
178,0.14565,0.1383125,0.150875,0.131825,0.1389125,0.1429375,0.17465,0.1399,0.150875
179,0.1387125,0.149775,0.1459375,0.1626875,0.1535375,0.1386625,0.1968875,0.1452625,0.143825
180,0.1512875,0.1365625,0.1410625,0.1460625,0.137775,0.1470125,0.1481125,0.142425,0.1450625
181,0.1503375,0.1509875,0.1413125,0.1442125,0.1449375,0.1431,0.1428375,0.145875,0.14335
182,0.1435375,0.1401625,0.147525,0.13635,0.143625,0.148325,0.1589,0.1441375,0.14703750000000002
183,0.1546375,0.1414,0.139725,0.1512375,0.1473625,0.1493,0.1597625,0.1432125,0.1431875
184,0.16365,0.145475,0.1431,0.136425,0.1421,0.14805,0.1356625,0.1480875,0.14473750000000002
185,0.136475,0.143425,0.1473375,0.150625,0.1440625,0.145625,0.1361375,0.1643125,0.15026250000000002
186,0.17495,0.15655,0.153175,0.1734875,0.1508,0.144,0.1465125,0.1466875,0.14753750000000002
187,0.138425,0.15355,0.1483875,0.1408,0.1427,0.1455,0.1427625,0.1501375,0.1459125
188,0.1584125,0.1588125,0.1488375,0.1368875,0.1534625,0.143775,0.1594125,0.145675,0.14835
189,0.1472,0.165875,0.138825,0.1423125,0.1558875,0.1532875,0.1581,0.140225,0.14850000000000002
190,0.1589625,0.1421375,0.1469375,0.1413375,0.1483,0.1455375,0.140275,0.1414125,0.15057500000000001
191,0.16755,0.148825,0.1563125,0.13025,0.15865,0.1482875,0.135625,0.1408375,0.14121250000000002
192,0.1428375,0.1458375,0.1455875,0.134875,0.1390625,0.1503,0.1634875,0.1475125,0.1466375
193,0.14165,0.1421875,0.142625,0.145775,0.1620875,0.1434375,0.1477625,0.156525,0.14853750000000002
194,0.14725,0.132575,0.151925,0.1935625,0.1534,0.1633125,0.1443875,0.146625,0.1512
195,0.1372125,0.1290375,0.1422875,0.1391875,0.1344625,0.160875,0.1528625,0.1413125,0.150225
196,0.1445625,0.1347625,0.146275,0.1467875,0.166375,0.14375,0.1473875,0.1464125,0.14980000000000002
197,0.1532625,0.139075,0.1508625,0.1423,0.1428875,0.1367875,0.1515375,0.1409375,0.1414125
198,0.138175,0.1550625,0.1437125,0.1438375,0.1393125,0.146525,0.1579,0.14685,0.1472125
199,0.1345375,0.1382625,0.14095,0.1427375,0.1494,0.1428625,0.1465125,0.1482625,0.14355
200,0.1501,0.1448375,0.1492875,0.13175,0.13765,0.149375,0.1441,0.1474625,0.15178750000000002
201,0.1368,0.1406625,0.1450625,0.1437125,0.1413625,0.1511,0.1612,0.1407,0.1426875
202,0.124275,0.16405,0.1426875,0.1511875,0.165075,0.155875,0.1386625,0.1477875,0.14930000000000002
203,0.1401125,0.1460875,0.1416125,0.1407,0.1495,0.140775,0.142075,0.155725,0.14853750000000002
204,0.149,0.1348125,0.1498875,0.1510375,0.1622875,0.15015,0.1452,0.1551375,0.14265
205,0.1365625,0.138575,0.1397625,0.1459375,0.14875,0.1472125,0.1454625,0.14755,0.14677500000000002
206,0.12645,0.1560875,0.143425,0.15885,0.1405875,0.15115,0.15325,0.1510875,0.15085
207,0.1398625,0.1587375,0.144375,0.13155,0.14915,0.1476625,0.1614375,0.152925,0.148675
208,0.1345125,0.1398,0.1409625,0.15995,0.139525,0.1458625,0.1507,0.149125,0.1469
209,0.1237,0.13835,0.1429375,0.1344,0.1627875,0.151725,0.145575,0.1482125,0.152275
210,0.146375,0.15,0.1512625,0.1447,0.1491125,0.1414375,0.16295,0.1527,0.142125
211,0.15775,0.1583875,0.14045,0.128625,0.14455,0.1527125,0.1616125,0.148125,0.1501875
212,0.166825,0.1420375,0.1420625,0.130625,0.1391375,0.144025,0.1437625,0.1488125,0.1481125
213,0.141,0.143275,0.1418375,0.1885625,0.14885,0.1427125,0.1406625,0.1505375,0.14623750000000002
214,0.135075,0.14915,0.1394875,0.1402375,0.15165,0.145625,0.142675,0.150175,0.15381250000000002
215,0.13035,0.1411125,0.141575,0.1365375,0.14445,0.1443375,0.1461875,0.14265,0.14627500000000002
216,0.1331875,0.1466375,0.15115,0.1361125,0.1440625,0.1466625,0.1307375,0.1424,0.14401250000000002
217,0.143775,0.14375,0.1490625,0.152675,0.1448125,0.144175,0.1419125,0.1695625,0.14445
218,0.1597875,0.163675,0.1536875,0.144475,0.1392,0.144825,0.1407875,0.1421375,0.1525125
219,0.1489,0.1462125,0.1442625,0.14415,0.1434875,0.1490125,0.136525,0.1396375,0.1524875
220,0.1491875,0.1337625,0.1470375,0.14335,0.142325,0.1467375,0.1430375,0.150275,0.1464125
221,0.145375,0.1495,0.1478625,0.1321,0.1441375,0.1455625,0.1491625,0.1435375,0.152475
222,0.1658,0.14865,0.1520125,0.1319,0.140025,0.14325,0.1588375,0.1458,0.1442875
223,0.1465,0.151425,0.1488625,0.149975,0.1450875,0.1408,0.1414375,0.1483625,0.1466875
224,0.135825,0.15355,0.1433625,0.163875,0.15475,0.1844875,0.14615,0.1440375,0.14401250000000002
225,0.1325625,0.169425,0.1604125,0.146975,0.1464625,0.14225,0.13645,0.1449125,0.14452500000000001
226,0.164925,0.1528375,0.1483125,0.1441,0.1570375,0.154,0.14315,0.1494625,0.1503375
227,0.1483875,0.1503125,0.1455625,0.1453625,0.1448875,0.1558,0.1284375,0.15195,0.1473125
228,0.15985,0.1405875,0.1485375,0.1359125,0.1417875,0.1471,0.1658625,0.1536,0.145575
229,0.4978625,0.138425,0.1506875,0.1323125,0.140025,0.144775,0.1376,0.1482625,0.145875
230,0.15965,0.15195,0.1430375,0.1374,0.1422625,0.1463875,0.1529375,0.1538875,0.15231250000000002
231,0.1622625,0.1426125,0.15275,0.1475625,0.1626375,0.1475625,0.1352375,0.1515375,0.146575
232,0.1400875,0.131925,0.1477875,0.175425,0.235825,0.1456875,0.1983625,0.14975,0.140925
233,0.1435875,0.1439125,0.149375,0.1625,0.14705,0.1538,0.1487125,0.1516375,0.15145
234,0.1361,0.1403625,0.1559875,0.14615,0.1326375,0.14515,0.150275,0.1482625,0.149
235,0.136575,0.1412625,0.1488,0.1433125,0.1407125,0.141075,0.14295,0.1489625,0.152175
236,0.160375,0.1456125,0.1498,0.1504125,0.1556375,0.14345,0.1539125,0.142475,0.14398750000000002
237,0.1607125,0.1573,0.15185,0.1548125,0.149975,0.140525,0.1403625,0.145725,0.15031250000000002
238,0.12955,0.1442375,0.1453375,0.1507,0.1439625,0.1527375,0.1474125,0.1531375,0.149325
239,0.1408375,0.1400375,0.148175,0.1412,0.1596875,0.1393,0.14615,0.1467625,0.14965
240,0.15155,0.15795,0.1436875,0.1402125,0.1451125,0.1427875,0.1413,0.143,0.1433125
241,0.13455,0.145225,0.1424375,0.202175,0.149825,0.1542875,0.1493375,0.138375,0.15006250000000002
242,0.1414625,0.143975,0.1505625,0.1495625,0.142525,0.1476875,0.1316,0.1440375,0.1468
243,0.1413625,0.149125,0.148925,0.1457375,0.31755,0.152975,0.160525,0.1495375,0.1475875
244,0.1383,0.1483125,0.141475,0.1506375,0.1450625,0.1551625,0.1344,0.147375,0.1475625
245,0.1447875,0.1488375,0.1491875,0.176275,0.14425,0.146875,0.1611,0.177975,0.14985
246,0.1362625,0.1467,0.1447375,0.1489875,0.1370125,0.14275,0.1426875,0.164075,0.146375
247,0.1487375,0.1459,0.1394875,0.142375,0.161975,0.15265,0.135225,0.14965,0.1431375
248,0.1407625,0.1390375,0.1478625,0.13655,0.1425125,0.142175,0.1482625,0.1407125,0.1532
249,0.1283,0.1405,0.1583125,0.1347125,0.166225,0.139975,0.1562625,0.1452375,0.1457
250,0.1389125,0.1554875,0.1483125,0.1501,0.13855,0.21185,0.14915,0.1471625,0.150425
251,0.16815,0.1405125,0.1446375,0.142425,0.1397875,0.142675,0.1433125,0.1481625,0.1424125
252,0.1529625,0.1543125,0.14535,0.139125,0.146275,0.1488625,0.161625,0.155175,0.1457125
253,0.132875,0.1433125,0.1498625,0.149375,0.142875,0.1423,0.135225,0.1451125,0.14423750000000002
254,0.16305,0.1461,0.1516625,0.1401125,0.143475,0.143375,0.1328875,0.1461125,0.1448125
255,0.1644875,0.1642375,0.1538875,0.1631875,0.1435125,0.14515,0.1383125,0.1466,0.15245
256,0.1650375,0.1524625,0.14585,0.1501875,0.1361625,0.151825,0.138125,0.1431,0.1477375
257,0.156675,0.1507875,0.145925,0.14555,0.148725,0.1486,0.1449,0.1558,0.1465625
258,0.157,0.1553625,0.141825,0.144475,0.1479,0.144075,0.14295,0.14685,0.1529875
259,0.140425,0.1417625,0.1443875,0.1386,0.144225,0.1425125,0.13705,0.1460375,0.1446625
260,0.1388125,0.14255,0.14475,0.153375,0.1466875,0.1449875,0.15705,0.1539875,0.1456625
